state,count
California,1029
Florida,520
Arizona,486
Texas,403
Washington,384
New York,366
Pennsylvania,294
Illinois,290
North Carolina,215
Ohio,210
New Jersey,199
Michigan,184
Oregon,179
Colorado,175
Virginia,161
Missouri,160
Indiana,156
South Carolina,154
Wisconsin,147
Tennessee,143
Massachusetts,138
Connecticut,133
Georgia,129
Maryland,99
Alabama,92
Nevada,91
Kentucky,86
Maine,85
Minnesota,84
New Mexico,83
New Hampshire,79
Oklahoma,77
Iowa,76
Louisiana,69
Kansas,68
Arkansas,67
Utah,64
West Virginia,62
Montana,52
Hawaii,51
Mississippi,51
Idaho,36
Vermont,35
Nebraska,35
Rhode Island,35
Alaska,33
Wyoming,21
Delaware,21
South Dakota,14
North Dakota,6
