state,shape,count
Alabama,light,129
Alabama,triangle,78
Alabama,circle,61
Alaska,light,89
Alaska,circle,29
Alaska,disk,27
Arizona,light,548
Arizona,triangle,236
Arizona,circle,210
Arkansas,light,122
Arkansas,triangle,85
Arkansas,circle,61
California,light,1829
California,circle,844
California,triangle,822
Colorado,light,293
Colorado,triangle,164
Colorado,circle,118
Connecticut,light,160
Connecticut,circle,93
Connecticut,fireball,90
Delaware,triangle,30
Delaware,light,28
Delaware,circle,22
Florida,light,748
Florida,fireball,408
Florida,triangle,356
Georgia,light,246
Georgia,circle,144
Georgia,triangle,128
Hawaii,light,62
Hawaii,circle,32
Hawaii,sphere,29
Idaho,light,133
Idaho,triangle,49
Idaho,circle,45
Illinois,light,525
Illinois,triangle,299
Illinois,circle,270
Indiana,light,270
Indiana,triangle,142
Indiana,fireball,125
Iowa,light,168
Iowa,triangle,105
Iowa,circle,55
Kansas,light,138
Kansas,triangle,64
Kansas,other,50
Kentucky,light,167
Kentucky,triangle,97
Kentucky,circle,87
Louisiana,light,123
Louisiana,triangle,66
Louisiana,circle,58
Maine,light,127
Maine,circle,66
Maine,triangle,59
Maryland,light,160
Maryland,triangle,88
Maryland,circle,82
Massachusetts,light,238
Massachusetts,triangle,129
Massachusetts,circle,120
Michigan,light,373
Michigan,triangle,219
Michigan,fireball,171
Minnesota,light,215
Minnesota,triangle,124
Minnesota,circle,97
Mississippi,light,68
Mississippi,triangle,46
Mississippi,circle,40
Missouri,light,301
Missouri,triangle,178
Missouri,fireball,125
Montana,light,109
Montana,fireball,54
Montana,unknown,44
Nebraska,light,80
Nebraska,circle,35
Nebraska,triangle,34
Nevada,light,166
Nevada,circle,67
Nevada,other,67
New Hampshire,light,115
New Hampshire,circle,48
New Hampshire,triangle,43
New Jersey,light,240
New Jersey,circle,126
New Jersey,disk,115
New Mexico,light,148
New Mexico,unknown,66
New Mexico,circle,53
New York,light,572
New York,circle,307
New York,triangle,291
North Carolina,light,354
North Carolina,circle,182
North Carolina,triangle,174
North Dakota,triangle,23
North Dakota,light,20
North Dakota,other,13
Ohio,light,438
Ohio,triangle,252
Ohio,circle,225
Oklahoma,light,150
Oklahoma,triangle,69
Oklahoma,circle,67
Oregon,light,397
Oregon,circle,172
Oregon,triangle,150
Pennsylvania,light,468
Pennsylvania,circle,231
Pennsylvania,triangle,223
Rhode Island,light,41
Rhode Island,circle,30
Rhode Island,triangle,22
South Carolina,light,256
South Carolina,circle,111
South Carolina,triangle,84
South Dakota,light,47
South Dakota,triangle,20
South Dakota,unknown,19
Tennessee,light,198
Tennessee,triangle,120
Tennessee,circle,99
Texas,light,704
Texas,triangle,362
Texas,circle,285
Utah,light,131
Utah,triangle,66
Utah,circle,61
Vermont,light,59
Vermont,fireball,24
Vermont,circle,23
Virginia,light,229
Virginia,triangle,134
Virginia,circle,131
Washington,light,871
Washington,fireball,355
Washington,triangle,340
West Virginia,light,96
West Virginia,triangle,54
West Virginia,circle,45
Wisconsin,light,275
Wisconsin,circle,126
Wisconsin,fireball,120
Wyoming,light,47
Wyoming,other,17
Wyoming,circle,15
